"","SAMPLID","LEN","CLEN"
"1",20200805,290,8
"2",20200805,295,7
"3",20200805,300,4
"4",20200805,305,1
"5",20200805,315,1
"6",20200806,240,2
"7",20200806,245,2
"8",20200806,250,10
"9",20200806,255,14
"10",20200806,260,28
"11",20200806,265,14
"12",20200806,270,27
"13",20200806,275,36
"14",20200806,280,31
"15",20200806,285,28
"16",20200806,290,10
"17",20200806,295,8
"18",20200806,300,2
"19",20200806,305,3
"20",20200806,310,2
"21",20200807,235,1
"22",20200807,240,1
"23",20200807,245,2
"24",20200807,250,12
"25",20200807,255,10
"26",20200807,260,17
"27",20200807,265,20
"28",20200807,270,17
"29",20200807,275,16
"30",20200807,280,20
"31",20200807,285,5
"32",20200807,290,10
"33",20200807,300,6
"34",20200808,230,3
"35",20200808,235,2
"36",20200808,240,10
"37",20200808,245,11
"38",20200808,250,20
"39",20200808,255,27
"40",20200808,260,33
"41",20200808,265,28
"42",20200808,270,36
"43",20200808,275,16
"44",20200808,280,15
"45",20200808,285,7
"46",20200808,290,3
"47",20200808,295,5
"48",20200808,300,2
"49",20200810,210,1
"50",20200810,220,1
"51",20200810,225,2
"52",20200810,230,5
"53",20200810,235,6
"54",20200810,240,27
"55",20200810,245,20
"56",20200810,250,33
"57",20200810,255,25
"58",20200810,260,31
"59",20200810,265,22
"60",20200810,270,31
"61",20200810,275,15
"62",20200810,280,18
"63",20200810,285,5
"64",20200810,290,3
"65",20200810,295,2
"66",20200811,230,3
"67",20200811,235,2
"68",20200811,240,5
"69",20200811,245,11
"70",20200811,250,25
"71",20200811,255,27
"72",20200811,260,30
"73",20200811,265,37
"74",20200811,270,42
"75",20200811,275,11
"76",20200811,280,13
"77",20200811,285,7
"78",20200811,290,5
"79",20200811,295,2
"80",20200811,300,2
"81",20200811,305,1
"82",20200812,220,1
"83",20200812,225,1
"84",20200812,230,3
"85",20200812,235,2
"86",20200812,240,3
"87",20200812,245,5
"88",20200812,250,12
"89",20200812,255,22
"90",20200812,260,37
"91",20200812,265,35
"92",20200812,270,30
"93",20200812,275,29
"94",20200812,280,21
"95",20200812,285,10
"96",20200812,290,15
"97",20200812,295,2
"98",20200812,300,2
"99",20200812,305,2
"100",20200812,310,3
"101",20200813,170,2
"102",20200813,175,1
"103",20200813,180,12
"104",20200813,185,6
"105",20200813,190,10
"106",20200813,195,7
"107",20200813,200,13
"108",20200813,205,15
"109",20200813,210,31
"110",20200813,215,26
"111",20200813,220,44
"112",20200813,225,21
"113",20200813,230,18
"114",20200813,235,10
"115",20200813,240,3
"116",20200813,245,1
"117",20200844,190,5
"118",20200844,195,5
"119",20200844,200,9
"120",20200844,205,17
"121",20200844,210,20
"122",20200844,215,27
"123",20200844,220,36
"124",20200844,225,26
"125",20200844,230,33
"126",20200844,235,12
"127",20200844,240,10
"128",20200844,245,3
"129",20200844,250,2
"130",20200844,255,1
"131",20200845,170,2
"132",20200845,175,1
"133",20200845,180,2
"134",20200845,185,1
"135",20200845,190,7
"136",20200845,195,5
"137",20200845,200,13
"138",20200845,205,20
"139",20200845,210,46
"140",20200845,215,37
"141",20200845,220,50
"142",20200845,225,21
"143",20200845,230,14
"144",20200845,235,2
"145",20200845,240,1
"146",20200845,245,1
"147",20200845,270,1
"148",20200313,140,2
"149",20200313,145,3
"150",20200313,150,1
"151",20200313,155,3
"152",20200313,160,2
"153",20200313,165,4
"154",20200313,170,9
"155",20200313,175,14
"156",20200313,180,11
"157",20200313,185,12
"158",20200313,190,16
"159",20200313,195,25
"160",20200313,200,23
"161",20200313,205,12
"162",20200313,210,9
"163",20200313,215,3
"164",20200313,220,4
"165",20200313,225,1
"166",20200313,230,2
"167",20200313,235,1
"168",20200313,245,1
"169",20200313,255,1
"170",20200314,160,4
"171",20200314,165,4
"172",20200314,170,3
"173",20200314,175,7
"174",20200314,180,12
"175",20200314,185,14
"176",20200314,190,21
"177",20200314,195,27
"178",20200314,200,30
"179",20200314,205,19
"180",20200314,210,8
"181",20200314,215,2
"182",20200314,220,1
"183",20200314,225,1
"184",20200314,230,2
"185",20200314,245,1
"186",20200315,160,3
"187",20200315,165,1
"188",20200315,170,6
"189",20200315,175,8
"190",20200315,180,25
"191",20200315,185,20
"192",20200315,190,37
"193",20200315,195,45
"194",20200315,200,41
"195",20200315,205,19
"196",20200315,210,18
"197",20200315,215,5
"198",20200315,220,2
"199",20200316,160,2
"200",20200316,170,2
"201",20200316,175,5
"202",20200316,180,10
"203",20200316,185,10
"204",20200316,190,29
"205",20200316,195,30
"206",20200316,200,25
"207",20200316,205,24
"208",20200316,210,15
"209",20200316,215,6
"210",20200316,220,1
"211",20200317,155,1
"212",20200317,160,2
"213",20200317,165,3
"214",20200317,170,6
"215",20200317,175,5
"216",20200317,180,12
"217",20200317,185,8
"218",20200317,190,37
"219",20200317,195,31
"220",20200317,200,37
"221",20200317,205,28
"222",20200317,210,20
"223",20200317,215,8
"224",20200317,220,3
"225",20200318,155,1
"226",20200318,160,1
"227",20200318,165,6
"228",20200318,170,3
"229",20200318,175,1
"230",20200318,180,12
"231",20200318,185,10
"232",20200318,190,23
