"","SAMPLID","AREA","OLD_SAMP","SDATE","SPEC","SAMP_TYPE","GEAR","BD","LAT","LON","LF_SAMPLER","FISHING_VESSEL_1","FISHING_VESSEL_2","FISHING_VESSEL_3","CARRIER","FOREIGN_VESSEL","CRUISE","SETNO","COMMENTS","PLANT","AGER1","AGER2","MARKET_WEIGHT_KG","HOW_LF_OBTAINED","HOW_DETAIL_OBTAINED","DETAIL_SAMPLER","WEIR_CODE"
"1",20200866,465,NA,2020-09-14,60,5,2,0,4315,6621,"Dave Welch","Fundy Monarch",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 2 of 2","Atlantic Catch Data",NA,NA,62000,NA,NA,NA,NA
"2",20200867,465,NA,2020-09-14,60,5,2,0,4315.52,6621.11,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ","Atlantic Catch Data",NA,NA,129000,NA,NA,NA,NA
"3",20200828,466,NA,2020-09-09,60,5,2,0,4401.62,6647.57,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"4XR, 1 of 2, 9.65 caught on Lurcher 4XQ","Atlantic Catch Data",NA,NA,55500,NA,NA,NA,NA
"4",20200829,465,NA,2020-09-09,60,5,2,0,4353.47,6629.36,"Dale Knickle","Lady Melissa",NA,NA,NA,NA,NA,NA,"Lurcher, 4XQ","Atlantic Catch Data",NA,NA,13000,NA,NA,NA,NA
"5",20200830,465,NA,2020-09-09,60,4,2,0,4353,6629.4,"Zach and Zander","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Lurcher, 4XQ, 1 of 3","Cape Breeze Seafoods",NA,NA,40667,NA,NA,NA,NA
"6",20200831,465,NA,2020-09-09,60,4,2,1,4353,6629.4,"Wendy Deveau","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Lurcher, 4XQ, 2 of 3; Ager1_Reading2 is LC","Scotia Garden Seafood Inc.","LC",NA,40667,NA,NA,"Claire Neufeld",NA
"7",20200832,465,NA,2020-09-09,60,5,2,0,4353,6629.4,"Heather Perry","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Lurcher, 4XQ, 3 of 3","Atlantic Catch Data",NA,NA,40666,NA,NA,NA,NA
"8",20200833,465,NA,2020-09-09,60,6,2,1,4352.5,6629.9,"Nicole Comeau","Sealife II",NA,NA,NA,NA,NA,NA,"Lurcher, 4XQ, 1 of 2; Ager1_Reading2 is LC","Comeau's Sea Foods Ltd.","LC",NA,41500,NA,NA,"Claire Neufeld",NA
"9",20200834,465,NA,2020-09-09,60,5,2,0,4352.5,6629.9,"Dale Knickle","Sealife II",NA,NA,NA,NA,NA,NA,"Lurcher, 4XQ, 2 of 2","Atlantic Catch Data",NA,NA,41500,NA,NA,NA,NA
"10",20200835,465,NA,2020-09-10,60,4,2,1,4320,6624,"Ken Dougan, Connors","Brunswick Provider",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 1 of 2","Connors #10, Blacks Harbour","LC",NA,48500,NA,NA,"Claire Neufeld",NA
"11",20200836,465,NA,2020-09-10,60,5,2,0,4320,6624,"Dave Welch","Brunswick Provider",NA,NA,NA,NA,NA,NA,"German Bank, 4XQ, 2 of 2","Atlantic Catch Data",NA,NA,48500,NA,NA,NA,NA
"12",20200837,511,NA,2020-09-10,60,4,2,1,4415,6701,"Ken Dougan, Connors","Canada 100",NA,NA,NA,NA,NA,NA,"NE Bank, 5YB, 1 of 2","Connors #10, Blacks Harbour","LC",NA,12000,NA,NA,"Claire Neufeld",NA
"13",20200841,466,NA,2020-09-10,60,4,2,1,4419.2,6621.5,"Wendy Deveau","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, 1 of 2","Scotia Garden Seafood Inc.","LC",NA,13500,NA,NA,"Claire Neufeld",NA
"14",20200842,466,NA,2020-09-10,60,5,2,0,4419.2,6621.5,"Sophia Tomson","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Long Island Shore, 4XR, 2 of 2","Atlantic Catch Data",NA,NA,13500,NA,NA,NA,NA
"15",20200727,466,NA,2020-08-25,60,5,2,0,4510.35,6505.43,"Sophia Tomson","Morning Star",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 3 of 3","Atlantic Catch Data",NA,NA,22000,NA,NA,NA,NA
"16",20200728,466,NA,2020-08-25,60,5,2,0,4512.9,6456.8,"Dale Knickle","Sealife II",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 2","Atlantic Catch Data",NA,NA,47500,NA,NA,NA,NA
"17",20201113,466,NA,2020-08-12,60,2,2,1,4506,6504,NA,"Unknown",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, Fecundity sample",NA,NA,NA,6,NA,NA,"Lisa Houston",NA
"18",20200087,465,NA,2020-06-08,60,4,2,0,4337.08,6656,"Chris and Devin","Morning Star",NA,NA,NA,NA,NA,NA,"above Tear Drop, 4XQ, 2 of 3","Cape Breeze Seafoods",NA,NA,37333,NA,NA,NA,NA
"19",20200241,463,NA,2020-06-30,60,4,2,0,4301.16,6558,"Chris and Eddie","Morning Star",NA,NA,NA,NA,NA,NA,"SW Ground (East of Casper), 4XO, 3 of 3","Cape Breeze Seafoods",NA,NA,26666,NA,NA,NA,NA
"20",20200242,463,NA,2020-07-02,60,5,2,0,4305.5,6603.5,"Dale Knickle","Lady Janice II",NA,NA,NA,NA,NA,NA,"SW Ground, 4XO","Atlantic Catch Data",NA,NA,147000,NA,NA,NA,NA
"21",20200243,463,NA,2020-07-02,60,5,2,0,4308.39,6603.69,"Dale Knickle","Lady Melissa",NA,NA,NA,NA,NA,NA,"SW Ground, 4XO, mackerel","Atlantic Catch Data",NA,NA,84000,NA,NA,NA,NA
"22",20200244,463,NA,2020-07-02,60,4,2,0,4303,6602,"Wendy Deveau","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"SW Ground (East of Casper), 4XO, 1 of 2","Scotia Garden Seafood Inc.",NA,NA,64000,NA,NA,NA,NA
"23",20200245,463,NA,2020-07-02,60,5,2,0,4303,6602,"Dale Knickle","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"SW Ground (East of Casper), 4XO, 2 of 2","Atlantic Catch Data",NA,NA,64000,NA,NA,NA,NA
"24",20200246,463,NA,2020-07-02,60,4,2,0,4301,6558,"Wendy Deveau","Morning Star",NA,NA,NA,NA,NA,NA,"SW Ground (East of Casper), 4XO, 1 of 3","Scotia Garden Seafood Inc.",NA,NA,25667,NA,NA,NA,NA
"25",20200247,463,NA,2020-07-02,60,4,2,0,4301,6558,"Chris and Eddie","Morning Star",NA,NA,NA,NA,NA,NA,"SW Ground (East of Casper), 4XO, 2 of 3","Cape Breeze Seafoods",NA,NA,25667,NA,NA,NA,NA
"26",20200248,463,NA,2020-07-02,60,5,2,0,4301,6558,"Dale Knickle","Morning Star",NA,NA,NA,NA,NA,NA,"SW Ground (East of Casper), 4XO, 3 of 3, mackerel","Atlantic Catch Data",NA,NA,25666,NA,NA,NA,NA
"27",20200249,463,NA,2020-07-02,60,5,2,0,4306.9,6603.1,"Albert Gaudet","Sealife II",NA,NA,NA,NA,NA,NA,"SW Ground, 4XO, 1 of  3","Atlantic Catch Data",NA,NA,51333,NA,NA,NA,NA
"28",20200250,463,NA,2020-07-02,60,5,2,0,4309,6604,"Albert Gaudet","Tasha Marie",NA,NA,NA,NA,NA,NA,"SW Ground, 4XO","Atlantic Catch Data",NA,NA,70000,NA,NA,NA,NA
"29",20200251,463,NA,2020-07-02,60,4,2,0,4306.9,6603.1,"Nicole Comeau","Sealife II",NA,NA,NA,NA,NA,NA,"SW Ground, 4XO, 2 of  3","Comeau's Sea Foods Ltd.",NA,NA,51333,NA,NA,NA,NA
"30",20200347,511,NA,2020-07-14,60,4,2,1,4415,6700,"Nicole Comeau","Lady Janice II",NA,NA,NA,NA,NA,NA,"NE Bank, 5YB, 2 of 2","Comeau's Sea Foods Ltd.","LC",NA,11500,NA,NA,"Claire Neufeld",NA
"31",20200630,465,NA,2020-07-24,60,2,3,1,4300.44,6716.88,NA,"Alfred Needler",NA,NA,NA,NA,"NED2020025",99,"Ecosystem summer survey 4VWX 5Yb",NA,"LC",NA,NA,NA,NA,NA,NA
"32",20200073,465,NA,2020-06-04,60,4,2,0,4335,6636,"Nicole Comeau","Lady Melissa",NA,NA,NA,NA,NA,NA,"Gannet Dry Ledge, 4XQ, 2 of 2","Comeau's Sea Foods Ltd.",NA,NA,13500,NA,NA,NA,NA
"33",20200112,466,NA,2020-06-15,60,5,2,0,4516,6457,"Albert Gaudet","Brunswick Provider",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR","Atlantic Catch Data",NA,NA,135000,NA,NA,NA,NA
"34",20200113,466,NA,2020-06-15,60,4,2,1,4516.88,6456.05,"Ken Dougan, Connors","Canada 100",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 2; Ager1_Reading2 is LC","Connors #10, Blacks Harbour","DK",NA,71000,NA,NA,"Derek Knox",NA
"35",20200114,466,NA,2020-06-15,60,4,2,0,4517.08,6454.86,"Ken Dougan, Connors","Fundy Monarch",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 2","Connors #10, Blacks Harbour",NA,NA,46500,NA,NA,NA,NA
"36",20200115,466,NA,2020-06-15,60,5,2,0,4516,6455,"Albert Gaudet","Lady Janice II",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR","Atlantic Catch Data",NA,NA,71000,NA,NA,NA,NA
"37",20200116,466,NA,2020-06-15,60,6,2,1,4516.21,6457,"Nicole Comeau","Lady Melissa",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 4; Ager1_Reading2 is LC","Comeau's Sea Foods Ltd.","DK",NA,31750,NA,NA,"Claire Mussells",NA
