Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Sv_mean,Sv_max,Sv_min,Sv_noise,PRC_NASC,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Standard_deviation,Skewness,Kurtosis,PRC_ABC,Frequency,Region_notes,Region_detection_settings,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
1,"LM_T01","Transect",2076,4,1,-77.442013,-53.006742,-69.999730,-969.746992,82.948804,927,1058,992,2807.404881,3701.193553,3249.812066,0.000000,0.000000,0.000000,20200816, 21:30:55.4500,20200816, 21:34:11.9500,20200816, 21:32:32.9500,43.56524833,-66.49302000,43.55747954,-66.49331191,43.56143073,-66.49323738,0.00000009904418,12.384899,285.282187,0.00000192450168,38.000000,"","",91.080172,212.777330,0.063934,465.433482,0.002149
1,"LM_T01","Transect",2076,5,1,-79.988901,-45.901514,-69.998023,-972.466717,41.974832,1059,1191,1125,3707.831281,4628.505644,4166.991880,0.000000,0.000000,0.000000,20200816, 21:34:13.4500,20200816, 21:37:31.4500,20200816, 21:35:52.4500,43.55742000,-66.49331000,43.54941324,-66.49332167,43.55343333,-66.49335000,0.00000011642015,161.776189,35249.159694,0.00000097386136,38.000000,"","",85.591823,71.015893,0.041241,95.104269,0.010515
1,"LM_T01","Transect",2076,6,1,-77.832926,-47.060002,-69.998892,-969.820695,74.412385,1192,1324,1258,4635.610053,5553.845954,5096.892484,0.000000,0.000000,0.000000,20200816, 21:37:32.9500,20200816, 21:40:50.9500,20200816, 21:39:11.9500,43.54934954,-66.49332897,43.54128306,-66.49334492,43.54532855,-66.49334234,0.00000014607683,63.846360,6686.800736,0.00000172644756,38.000000,"","",96.789561,102.546594,0.058009,175.012549,0.005714
1,"LM_T01","Transect",2076,7,1,-77.145685,-50.946986,-69.998023,-968.836586,87.521352,1325,1455,1390,5560.524195,6478.588154,6020.100999,0.000000,0.000000,0.000000,20200816, 21:40:52.4500,20200816, 21:44:07.4500,20200816, 21:42:29.9500,43.54122833,-66.49332000,43.53320333,-66.49335167,43.53724063,-66.49335657,0.00000010013880,18.452712,900.845078,0.00000203058972,38.000000,"","",96.917336,77.564190,0.072724,493.509189,0.002026
1,"LM_T01","Transect",2076,8,1,-80.697879,-57.662429,-69.998543,-971.061601,40.563453,1456,1589,1522,6485.741608,7403.987360,6941.740087,0.000000,0.000000,0.000000,20200816, 21:44:08.9500,20200816, 21:47:28.4500,20200816, 21:45:47.9500,43.53313897,-66.49335000,43.52503000,-66.49333333,43.52909473,-66.49329995,0.00000005642587,11.027346,174.949939,0.00000094111583,38.000000,"","",105.263300,67.639401,0.035770,329.783279,0.003032
1,"LM_T01","Transect",2076,9,1,-80.196970,-55.478534,-69.999664,-971.339177,44.395919,1590,1717,1653,7411.677796,8331.437750,7861.745760,0.000000,0.000000,0.000000,20200816, 21:47:29.9500,20200816, 21:50:40.4500,20200816, 21:49:04.4500,43.52496110,-66.49332508,43.51686105,-66.49330500,43.52100600,-66.49331505,0.00000006705229,14.636722,338.093470,0.00000103003318,38.000000,"","",99.868910,102.102062,0.037882,274.668777,0.003641
1,"LM_T01","Transect",2076,10,1,-81.537341,-57.513527,-69.999730,-972.652509,31.793456,1718,1845,1781,8338.855925,9256.332381,8796.291186,0.000000,0.000000,0.000000,20200816, 21:50:41.9500,20200816, 21:53:52.4500,20200816, 21:52:16.4500,43.51679733,-66.49332224,43.50875083,-66.49327064,43.51279597,-66.49331328,0.00000005246997,12.624795,228.481253,0.00000073764246,38.000000,"","",99.047309,103.002692,0.029117,236.485038,0.004229
1,"LM_T01","Transect",2076,11,1,-81.330372,-52.696769,-69.999202,-974.033169,29.833117,1846,1978,1912,9265.026635,10185.278272,9730.008805,0.000000,0.000000,0.000000,20200816, 21:53:53.9500,20200816, 21:57:11.9500,20200816, 21:55:32.9500,43.50868138,-66.49328327,43.50064399,-66.49335167,43.50460899,-66.49328899,0.00000007028925,29.828935,1530.133933,0.00000069216047,38.000000,"","",87.117896,101.043197,0.028342,135.678913,0.007370
1,"LM_T01","Transect",2076,12,1,-80.259994,-57.038326,-69.996768,-973.174067,37.850445,1979,2110,2044,10191.532631,11105.646664,10642.652657,0.000000,0.000000,0.000000,20200816, 21:57:13.4500,20200816, 22:00:29.9500,20200816, 21:58:50.9500,43.50058772,-66.49335000,43.49255869,-66.49334245,43.49662964,-66.49333203,0.00000006285620,12.358050,227.317779,0.00000087817112,38.000000,"","",82.220059,167.334687,0.038472,270.283837,0.003700
1,"LM_T01","Transect",2076,13,1,-82.204056,-52.494205,-69.997008,-974.374615,24.968999,2111,2243,2177,11112.336321,12033.899786,11576.346087,0.000000,0.000000,0.000000,20200816, 22:00:31.4500,20200816, 22:03:49.4500,20200816, 22:02:10.4500,43.49250004,-66.49334680,43.48444396,-66.49334009,43.48844023,-66.49335000,0.00000006324344,36.784639,2467.086082,0.00000057930769,38.000000,"","",91.622042,81.667892,0.023507,114.924762,0.008701
