Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,PRC_NASC,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Thickness_mean,Frequency,Region_notes
1,"LB_T03","Transect",2044,73,1,33.766408,18.442495,10545,10585,67313.482098,67591.487885,20200927, 23:30:54.1240,20200927, 23:31:54.1240,43.50235099,-66.21643961,43.49990515,-66.21653687,43.50115994,-66.21647500,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000042788577,61.552390,38.000000,""
1,"LB_T03","Transect",2044,74,1,33.510441,56.207306,10586,10712,67598.577468,68522.750491,20200927, 23:31:55.6240,20200927, 23:35:04.6240,43.49984751,-66.21656785,43.49177611,-66.21605669,43.49581389,-66.21639142,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000130407009,60.990992,38.000000,""
1,"LB_T03","Transect",2044,75,1,32.665057,50.648936,10713,10838,68530.731962,69445.614368,20200927, 23:35:06.1240,20200927, 23:38:13.6240,43.49170792,-66.21604263,43.48371892,-66.21648269,43.48776090,-66.21630500,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000117510993,59.350857,38.000000,""
1,"LB_T03","Transect",2044,76,1,32.740826,245.967135,10839,10966,69453.137728,70373.921772,20200927, 23:38:15.1240,20200927, 23:41:25.6240,43.48365125,-66.21648500,43.47558892,-66.21669602,43.47964957,-66.21660833,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000570670271,59.524500,38.000000,""
1,"LB_T03","Transect",2044,77,1,32.220342,43.610944,10967,11094,70382.121275,71298.030783,20200927, 23:41:27.1240,20200927, 23:44:37.6240,43.47551900,-66.21667344,43.46748008,-66.21667680,43.47150675,-66.21665667,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000101182093,58.459500,38.000000,""
1,"LB_T03","Transect",2044,78,1,33.462329,59.053546,11095,11222,71305.530441,72226.589500,20200927, 23:44:39.1240,20200927, 23:47:49.6240,43.46741275,-66.21667035,43.45935480,-66.21658721,43.46343035,-66.21672392,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000137010593,60.951000,38.000000,""
1,"LB_T03","Transect",2044,79,1,32.307211,51.924007,11223,11351,72234.113918,73149.624610,20200927, 23:47:51.1240,20200927, 23:51:03.1240,43.45928711,-66.21658985,43.45123065,-66.21656385,43.45524182,-66.21673029,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000120469294,58.603163,38.000000,""
1,"LB_T03","Transect",2044,80,1,32.698972,52.180123,11352,11481,73156.391193,74077.068472,20200927, 23:51:04.6240,20200927, 23:54:18.1240,43.45116980,-66.21656058,43.44307377,-66.21645848,43.44716926,-66.21654058,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000121063511,59.366400,38.000000,""
1,"LB_T03","Transect",2044,81,1,30.037408,26.035411,11482,11609,74083.622736,75005.012369,20200927, 23:54:19.6240,20200927, 23:57:30.1240,43.44301480,-66.21645613,43.43487582,-66.21626517,43.43898696,-66.21639819,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000060404961,54.111000,38.000000,""
1,"LB_T03","Transect",2044,82,1,31.817903,33.051481,11610,11743,75011.250727,75929.262520,20200927, 23:57:31.6240,20200928, 00:00:51.1240,43.43481980,-66.21626004,43.42674278,-66.21643488,43.43080697,-66.21619108,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000076683000,57.653015,38.000000,""
1,"LB_T03","Transect",2044,83,1,31.457636,26.468846,11744,11873,75936.148663,76856.291066,20200928, 00:00:52.6240,20200928, 00:04:06.1240,43.42668293,-66.21642412,43.41861451,-66.21649534,43.42275041,-66.21656219,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000061410577,56.911754,38.000000,""
1,"LB_T03","Transect",2044,84,1,29.282644,23.376614,11874,11999,76862.663562,77781.233607,20200928, 00:04:07.6240,20200928, 00:07:15.1240,43.41855735,-66.21648885,43.41046796,-66.21653489,43.41454845,-66.21655417,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000054236264,52.227047,38.000000,""
1,"LB_T03","Transect",2044,85,1,35.582338,21.833477,12000,12127,77788.479787,78706.483941,20200928, 00:07:16.6240,20200928, 00:10:27.1240,43.41041011,-66.21651531,43.40235106,-66.21675879,43.40639796,-66.21664201,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000050656021,65.082000,38.000000,""
1,"LB_T03","Transect",2044,86,1,38.718123,13.832240,12128,12256,78713.261261,79631.156352,20200928, 00:10:28.6240,20200928, 00:13:40.6240,43.40229183,-66.21676249,43.39418511,-66.21688391,43.39822626,-66.21689333,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000032092288,71.424000,38.000000,""
1,"LB_T03","Transect",2044,87,1,37.925660,11.814269,12257,12381,79639.343171,80557.613853,20200928, 00:13:42.1240,20200928, 00:16:48.1240,43.39411629,-66.21685705,43.38604877,-66.21665500,43.39006877,-66.21671008,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000027410378,69.791232,38.000000,""
1,"LB_T03","Transect",2044,88,1,38.658868,15.008405,12382,12505,80564.587059,81485.239374,20200928, 00:16:49.6240,20200928, 00:19:54.1240,43.38598602,-66.21665440,43.37781578,-66.21652175,43.38196446,-66.21657678,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000034821117,71.170064,38.000000,""
1,"LB_T03","Transect",2044,89,1,36.228779,20.576705,12506,12627,81492.117509,82407.856192,20200928, 00:19:55.6240,20200928, 00:22:57.1240,43.37775389,-66.21652000,43.36965903,-66.21638483,43.37371602,-66.21644333,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000047740174,66.350164,38.000000,""
1,"LB_T03","Transect",2044,90,1,34.597577,7.823220,12628,12749,82415.494505,83337.886743,20200928, 00:22:58.6240,20200928, 00:26:00.1240,43.36959602,-66.21635634,43.36150894,-66.21665684,43.36559541,-66.21658023,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000018150714,63.075147,38.000000,""
1,"LB_T03","Transect",2044,91,1,33.441884,8.734510,12750,12870,83344.693172,84260.174740,20200928, 00:26:01.6240,20200928, 00:29:01.6240,43.36144768,-66.21665667,43.35342123,-66.21704707,43.35745602,-66.21678847,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000020265005,60.852892,38.000000,""
1,"LB_T03","Transect",2044,92,1,34.562806,9.479018,12871,12989,84268.207830,85185.666891,20200928, 00:29:03.1240,20200928, 00:32:00.1240,43.35334898,-66.21704658,43.34524565,-66.21718333,43.34928949,-66.21709395,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000021992343,63.142185,38.000000,""
1,"LB_T03","Transect",2044,93,1,35.608375,18.341796,12990,13107,85193.223467,86113.187457,20200928, 00:32:01.6240,20200928, 00:34:57.1240,43.34517957,-66.21717360,43.33707982,-66.21687095,43.34118072,-66.21700624,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000042554944,65.227932,38.000000,""
1,"LB_T03","Transect",2044,94,1,35.513477,15.167215,13108,13225,86120.339674,87042.515345,20200928, 00:34:58.6240,20200928, 00:37:54.1240,43.33701560,-66.21687063,43.32888148,-66.21669683,43.33300344,-66.21682289,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000035189574,64.990373,38.000000,""
1,"LB_T03","Transect",2044,95,1,35.535480,12.701693,13226,13342,87049.897934,87963.811973,20200928, 00:37:55.6240,20200928, 00:40:49.6240,43.32881520,-66.21669040,43.32074245,-66.21669333,43.32475623,-66.21680333,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000029469297,65.071590,38.000000,""
1,"LB_T03","Transect",2044,96,1,32.396106,7.500080,13343,13460,87972.248651,88891.173258,20200928, 00:40:51.1240,20200928, 00:43:46.6240,43.32066651,-66.21669333,43.31251178,-66.21648032,43.31661233,-66.21648711,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000017400995,58.714576,38.000000,""
1,"LB_T03","Transect",2044,97,1,31.956292,6.258340,13461,13576,88899.641476,89817.932574,20200928, 00:43:48.1240,20200928, 00:46:40.6240,43.31243969,-66.21645750,43.30436044,-66.21650066,43.30842811,-66.21641833,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000014520023,57.939310,38.000000,""
1,"LB_T03","Transect",2044,98,1,31.049084,8.630818,13577,13691,89826.649750,90740.544244,20200928, 00:46:42.1240,20200928, 00:49:33.1240,43.30428733,-66.21647045,43.29618568,-66.21671495,43.30025578,-66.21657667,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000020024428,55.908730,38.000000,""
1,"LB_T03","Transect",2044,99,1,34.416727,38.952921,13692,13806,90748.239061,91669.733889,20200928, 00:49:34.6240,20200928, 00:52:25.6240,43.29611644,-66.21671400,43.28799918,-66.21684167,43.29204067,-66.21671664,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000090374975,62.707200,38.000000,""
1,"LB_T03","Transect",2044,100,1,34.063869,6.842470,13807,13919,91677.976602,92596.659725,20200928, 00:52:27.1240,20200928, 00:55:15.1240,43.28792500,-66.21684000,43.27977833,-66.21667000,43.28390167,-66.21679000,"13.0.388.45006",20230628, 12:03:46.4970,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-09-27\LB_Sep27_2020_AD2.EV",0.00000015875268,61.954832,38.000000,""
