Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,PRC_NASC,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Thickness_mean,Frequency,Region_notes
1,"SL_T01","Transect",2030,1,1,42.333425,10.582136,24,205,91.952912,921.402863,20201011, 19:19:00.4700,20201011, 19:22:01.4700,43.55828232,-66.41540515,43.55161463,-66.41534713,43.55501978,-66.41538000,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000024551697,76.783121,38.000000,""
1,"SL_T01","Transect",2030,2,1,43.452435,7.812029,206,407,926.286109,1849.669649,20201011, 19:22:02.4700,20201011, 19:25:26.4700,43.55157919,-66.41537447,43.54391963,-66.41543048,43.54767442,-66.41541500,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000018124748,78.826455,38.000000,""
1,"SL_T01","Transect",2030,3,1,43.632538,8.838921,408,603,1854.933738,2772.677145,20201011, 19:25:27.4700,20201011, 19:28:43.4720,43.54387442,-66.41542345,43.53641294,-66.41494178,43.54018892,-66.41521053,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000020507250,79.382204,38.000000,""
1,"SL_T01","Transect",2030,4,1,44.824184,10.448246,604,792,2778.105760,3701.904925,20201011, 19:28:44.4720,20201011, 19:31:53.4680,43.53637635,-66.41489953,43.52905843,-66.41538065,43.53278108,-66.41530921,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000024241057,81.742222,38.000000,""
1,"SL_T01","Transect",2030,5,1,45.539982,10.853914,793,977,3706.666021,4627.712964,20201011, 19:31:54.4680,20201011, 19:35:04.4680,43.52901709,-66.41537977,43.52138590,-66.41539680,43.52521400,-66.41533667,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000025182250,83.156757,38.000000,""
1,"SL_T01","Transect",2030,6,1,47.937614,15.716593,978,1161,4633.431620,5552.470280,20201011, 19:35:05.4680,20201011, 19:38:14.4780,43.52133500,-66.41539667,43.51367500,-66.41538833,43.51751500,-66.41540500,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000036464189,87.976695,38.000000,""
1,"SL_T01","Transect",2030,7,1,47.675232,12.953843,1162,1349,5556.362645,6478.515408,20201011, 19:38:15.4780,20201011, 19:41:24.4750,43.51364000,-66.41539000,43.50605245,-66.41539667,43.50995500,-66.41533667,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000030054311,87.451915,38.000000,""
1,"SL_T01","Transect",2030,8,1,46.482822,17.508008,1350,1536,6484.125999,7404.756830,20201011, 19:41:25.4750,20201011, 19:44:34.4780,43.50600733,-66.41537310,43.49841146,-66.41534000,43.50214624,-66.41537454,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000040620466,85.085775,38.000000,""
1,"SL_T01","Transect",2030,9,1,46.428283,27.115207,1537,1725,7409.564757,8330.220746,20201011, 19:44:35.4780,20201011, 19:47:43.4780,43.49837290,-66.41535637,43.49071290,-66.41537046,43.49456245,-66.41537000,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000062910205,84.961524,38.000000,""
1,"SL_T01","Transect",2030,10,1,46.019339,39.679526,1726,1907,8335.721758,9256.222876,20201011, 19:47:44.4780,20201011, 19:50:51.4790,43.49067290,-66.41540046,43.48310614,-66.41535939,43.48691176,-66.41537734,"13.0.388.45006",20230628, 11:52:35.2840,"Y:\Acoustic Index Review Files\EV_File Versions\Version_2022-11-04\2020\German Bank\2020-10-11\SL_Oct11_2020_AD2.EV",0.00000092060777,84.127648,38.000000,""
